"Date","Price","Open","High","Low","Change %"
"Jul 14","56.295","56.654","57.081","55.735","-0.62%"
"Jun 14","56.648","55.141","56.920","54.542","2.79%"
"May 14","55.111","56.051","56.416","53.667","-1.67%"
"Apr 14","56.048","55.617","57.013","55.059","0.80%"
"Mar 14","55.601","55.079","56.017","54.535","0.77%"
"Feb 14","55.174","54.865","56.391","54.622","0.53%"
"Jan 14","54.884","55.109","56.187","53.892","-0.43%"
"Dec 13","55.122","56.858","57.201","54.627","-3.05%"
"Nov 13","56.855","58.294","59.614","56.392","-2.47%"
"Oct 13","58.294","58.307","60.041","57.416","-0.04%"
"Sep 13","58.315","58.852","62.457","57.754","-0.27%"
"Aug 13","58.474","54.661","61.755","53.725","6.97%"
"Jul 13","54.663","54.373","55.699","53.621","0.45%"
"Jun 13","54.419","54.533","56.771","53.545","0.48%"
"May 13","54.161","55.690","55.831","53.302","-2.72%"
"Apr 13","55.677","56.532","57.551","55.364","-1.56%"
"Mar 13","56.559","55.535","57.166","55.383","1.83%"
"Feb 13","55.544","55.544","56.218","54.499","-0.04%"
"Jan 13","55.569","57.023","58.120","55.111","-2.58%"
"Dec 12","57.043","56.620","58.061","56.414","0.73%"
"Nov 12","56.631","55.823","58.474","55.570","1.45%"
"Oct 12","55.820","54.772","56.262","52.545","1.78%"
"Sep 12","54.845","57.164","58.674","54.818","-4.32%"
"Aug 12","57.319","58.310","59.106","57.102","-1.70%"
"Jul 12","58.310","56.931","58.759","55.629","2.58%"
"Jun 12","56.842","54.538","57.825","53.251","4.25%"
"May 12","54.524","54.896","55.284","53.291","-0.70%"
"Apr 12","54.906","53.142","55.048","51.903","4.32%"
"Mar 12","52.633","52.712","53.992","52.029","-0.17%"
"Feb 12","52.724","52.559","53.556","52.031","0.32%"
"Jan 12","52.557","54.184","55.202","52.051","-3.02%"
"Dec 11","54.195","53.587","54.438","51.888","1.17%"
"Nov 11","53.566","51.332","53.853","50.140","4.38%"
"Oct 11","51.318","47.401","52.754","46.344","8.33%"
"Sep 11","47.370","48.950","49.556","47.355","-3.36%"
"Aug 11","49.015","48.631","49.295","44.574","0.84%"
"Jul 11","48.609","47.927","48.863","46.980","1.42%"
"Jun 11","47.929","48.047","48.385","46.749","-0.31%"
"May 11","48.079","48.559","48.822","47.090","-0.94%"
"Apr 11","48.536","45.998","48.590","45.636","5.52%"
"Mar 11","45.996","46.108","46.273","43.795","-0.24%"
"Feb 11","46.107","45.672","46.530","44.861","0.93%"
"Jan 11","45.683","45.669","45.922","44.229","-0.15%"
"Dec 10","45.752","43.927","45.875","43.479","4.30%"
"Nov 10","43.867","43.660","45.141","43.513","0.61%"
"Oct 10","43.600","43.062","44.285","42.593","1.18%"
"Sep 10","43.090","41.987","43.748","41.518","2.83%"
"Aug 10","41.904","42.032","42.566","41.026","-0.13%"
"Jul 10","41.958","38.989","42.517","38.547","7.55%"
"Jun 10","39.014","39.276","40.736","37.711","-0.60%"
"May 10","39.250","40.836","41.341","37.801","-4.13%"
"Apr 10","40.939","41.120","41.563","40.589","-0.41%"
"Mar 10","41.106","41.312","41.986","40.629","-0.39%"
"Feb 10","41.269","40.666","41.858","39.800","1.09%"
"Jan 10","40.823","41.650","42.547","40.745","-1.98%"
"Dec 09","41.646","42.605","43.094","40.883","-2.21%"
"Nov 09","42.587","42.094","43.483","41.798","0.91%"
"Oct 09","42.202","42.199","43.312","40.888","0.05%"
"Sep 09","42.181","41.082","42.565","40.238","2.60%"
"Aug 09","41.114","39.889","41.233","39.256","2.91%"
"Jul 09","39.950","38.502","40.173","37.693","3.72%"
"Jun 09","38.518","37.840","39.206","37.165","2.03%"
"May 09","37.752","36.065","38.097","35.873","4.69%"
"Apr 09","36.060","34.965","36.840","34.465","3.02%"
"Mar 09","35.002","32.581","35.780","31.931","7.25%"
"Feb 09","32.636","31.064","33.260","30.422","5.20%"
"Jan 09","31.024","34.458","35.346","30.936","-9.82%"
"Dec 08","34.401","32.392","34.620","31.120","6.08%"
"Nov 08","32.429","33.016","33.638","30.372","-1.55%"
"Oct 08","32.941","37.227","37.636","29.835","-11.43%"
"Sep 08","37.192","37.568","39.163","35.483","-1.22%"
"Aug 08","37.651","40.062","40.089","36.145","-5.90%"
"Jul 08","40.013","41.131","42.577","39.639","-2.71%"
"Jun 08","41.129","40.232","41.650","39.818","2.05%"
"May 08","40.301","38.148","41.665","37.438","5.68%"
"Apr 08","38.136","36.550","38.341","36.004","4.31%"
"Mar 08","36.559","37.216","38.301","35.806","-1.65%"
"Feb 08","37.174","35.162","37.939","34.978","5.59%"
"Jan 08","35.205","34.430","35.431","33.682","1.99%"
"Dec 07","34.517","34.871","35.061","33.660","-1.17%"
"Nov 07","34.925","36.512","36.906","33.891","-4.46%"
"Oct 07","36.555","35.205","36.634","34.601","3.87%"
"Sep 07","35.192","33.142","35.252","33.007","5.89%"
"Aug 07","33.233","34.157","35.031","31.785","-2.80%"
"Jul 07","34.192","34.518","35.770","34.177","-0.59%"
"Jun 07","34.395","33.398","34.826","33.344","2.95%"
"May 07","33.410","34.043","34.373","32.839","-2.01%"
"Apr 07","34.094","34.907","35.662","33.450","-2.21%"
"Mar 07","34.864","34.709","35.449","34.064","0.33%"
"Feb 07","34.748","34.234","35.145","33.883","1.50%"
"Jan 07","34.235","34.750","35.396","33.906","-1.67%"
"Dec 06","34.818","35.182","35.742","34.564","-1.00%"
"Nov 06","35.169","34.735","35.285","33.981","1.11%"
"Oct 06","34.784","34.115","34.833","33.664","1.77%"
"Sep 06","34.180","35.463","35.818","34.037","-3.68%"
"Aug 06","35.487","35.583","35.838","35.035","-0.40%"
"Jul 06","35.630","34.095","35.755","33.948","4.62%"
"Jun 06","34.057","34.792","34.868","33.577","-2.25%"
"May 06","34.840","34.050","35.559","33.778","2.08%"
"Apr 06","34.129","31.834","34.147","31.601","7.08%"
"Mar 06","31.873","32.860","33.153","31.205","-3.04%"
"Feb 06","32.874","33.273","33.490","32.374","-1.36%"
"Jan 06","33.328","32.950","33.513","32.903","1.00%"
"Dec 05","32.997","33.826","34.868","32.667","-2.60%"
"Nov 05","33.878","33.694","34.201","33.106","0.46%"
"Oct 05","33.724","33.492","34.242","33.289","0.79%"
"Sep 05","33.459","33.187","33.998","33.045","0.68%"
"Aug 05","33.233","32.802","33.816","32.611","1.12%"
"Jul 05","32.864","33.144","33.456","31.974","-0.89%"
"Jun 05","33.160","32.991","34.023","32.646","0.40%"
"May 05","33.029","33.845","34.080","32.678","-2.62%"
"Apr 05","33.919","33.747","34.250","33.274","0.55%"
"Mar 05","33.733","34.490","34.922","33.461","-2.44%"
"Feb 05","34.578","33.802","34.867","33.136","2.21%"
"Jan 05","33.831","33.737","34.130","32.690","-0.04%"
"Dec 04","33.846","34.351","34.692","32.922","-1.47%"
"Nov 04","34.352","33.924","35.790","33.721","1.21%"
"Oct 04","33.940","33.346","34.313","32.897","1.59%"
"Sep 04","33.408","32.627","33.471","31.654","2.37%"
"Aug 04","32.636","32.635","33.637","32.233","0.16%"
"Jul 04","32.585","32.101","33.856","31.930","1.48%"
"Jun 04","32.111","32.534","32.622","30.810","-1.27%"
"May 04","32.525","32.101","32.790","30.870","1.48%"
"Apr 04","32.052","33.108","33.592","31.591","-3.57%"
"Mar 04","33.239","34.958","35.180","32.644","-4.97%"
"Feb 04","34.977","34.507","36.282","34.162","1.15%"
"Jan 04","34.579","34.316","35.508","34.131","0.80%"
"Dec 03","34.303","33.088","34.395","33.019","3.48%"
"Nov 03","33.149","32.039","33.329","31.483","3.28%"
"Oct 03","32.097","31.008","32.175","30.632","3.33%"
"Sep 03","31.062","29.606","31.434","29.077","4.60%"
"Aug 03","29.697","29.895","30.377","29.051","-0.89%"
"Jul 03","29.963","31.214","31.712","29.738","-4.16%"
"Jun 03","31.264","30.526","31.432","30.456","1.65%"
"May 03","30.758","29.596","31.110","29.555","3.73%"
"Apr 03","29.653","28.671","29.658","28.069","3.36%"
"Mar 03","28.690","28.888","29.479","27.984","-0.99%"
"Feb 03","28.978","27.971","29.081","27.761","3.20%"
"Jan 03","28.080","26.978","28.489","26.921","4.36%"
"Dec 02","26.907","27.045","27.422","26.771","-0.66%"
"Nov 02","27.085","26.777","27.416","26.696","0.97%"
"Oct 02","26.826","26.183","27.132","26.109","2.26%"
"Sep 02","26.233","26.616","26.853","26.112","-1.75%"
"Aug 02","26.700","26.341","26.942","25.458","1.03%"
"Jul 02","26.428","27.480","27.895","25.967","-4.02%"
"Jun 02","27.535","27.795","28.384","27.175","-0.97%"
"May 02","27.806","26.297","27.971","26.097","5.52%"
"Apr 02","26.351","25.968","26.746","25.640","1.25%"
"Mar 02","26.026","25.186","26.133","25.143","3.34%"
"Feb 02","25.185","24.613","25.285","24.540","2.19%"
"Jan 02","24.645","24.610","25.532","24.457","0.05%"
"Dec 01","24.633","25.016","25.059","24.051","-1.52%"
"Nov 01","25.012","24.114","25.206","24.080","3.57%"
"Oct 01","24.151","23.571","24.849","23.432","2.74%"
"Sep 01","23.506","24.853","24.942","23.083","-5.78%"
"Aug 01","24.947","23.987","25.419","23.898","3.84%"
"Jul 01","24.024","24.012","24.644","23.592","-0.15%"
"Jun 01","24.059","23.780","24.956","23.655","1.19%"
"May 01","23.775","23.980","24.972","23.611","-0.93%"
"Apr 01","23.998","22.648","24.330","22.228","5.86%"
"Mar 01","22.670","24.449","24.711","22.563","-7.44%"
"Feb 01","24.492","25.519","25.853","24.180","-4.17%"
"Jan 01","25.558","26.083","26.788","25.093","-2.01%"
"Dec 00","26.082","24.724","26.174","24.682","5.31%"
"Nov 00","24.768","24.284","25.013","23.700","1.42%"
"Oct 00","24.422","24.915","25.194","23.844","-2.14%"
"Sep 00","24.956","26.347","26.549","24.691","-5.57%"
"Aug 00","26.427","26.107","27.363","25.923","1.04%"
"Jul 00","26.154","26.659","26.937","25.680","-1.82%"
"Jun 00","26.640","25.505","27.306","25.292","4.40%"
"May 00","25.517","25.516","26.073","24.808","0.13%"
"Apr 00","25.485","26.450","26.644","25.353","-3.79%"
"Mar 00","26.489","26.929","27.021","26.140","-1.81%"
"Feb 00","26.977","27.773","28.018","26.592","-2.92%"
"Jan 00","27.788","28.541","29.072","27.110","-2.72%"
"Dec 99","28.564","27.506","28.591","27.292","3.61%"
"Nov 99","27.569","27.737","28.205","27.257","-0.58%"
"Oct 99","27.730","28.338","29.113","27.530","-2.62%"
"Sep 99","28.476","27.849","28.759","27.598","2.39%"
"Aug 99","27.812","28.145","28.598","27.287","-1.42%"
"Jul 99","28.214","28.862","29.137","27.719","-2.67%"
"Jun 99","28.989","27.756","29.002","27.445","4.27%"
"May 99","27.803","28.219","28.836","27.603","-1.82%"
"Apr 99","28.319","26.801","28.404","26.515","5.21%"
"Mar 99","26.916","26.330","27.236","26.172","1.92%"
"Feb 99","26.409","26.780","27.893","26.220","-1.43%"
"Jan 99","26.792","25.962","27.458","25.915","2.99%"
"Dec 98","26.013","26.713","27.236","25.713","-2.76%"
"Nov 98","26.751","26.316","27.509","26.236","1.22%"
"Oct 98","26.428","25.144","27.163","24.605","4.97%"
"Sep 98","25.176","24.011","25.671","23.956","4.18%"
"Aug 98","24.165","25.734","26.145","23.172","-6.29%"
"Jul 98","25.787","26.222","26.971","25.542","-2.03%"
"Jun 98","26.320","25.946","26.516","24.318","1.44%"
"May 98","25.946","25.767","26.198","24.856","0.62%"
"Apr 98","25.785","26.144","26.209","25.465","-1.46%"
"Mar 98","26.166","26.693","27.081","25.978","-2.03%"
"Feb 98","26.709","26.261","26.913","25.604","0.92%"
"Jan 98","26.465","25.528","26.749","24.857","3.70%"
"Dec 97","25.520","26.253","27.047","25.381","-3.42%"
"Nov 97","26.423","25.365","26.924","25.171","3.69%"
"Oct 97","25.483","26.202","26.879","24.670","-2.94%"
"Sep 97","26.255","26.568","26.943","25.890","-1.51%"
"Aug 97","26.658","26.623","27.369","25.956","-0.20%"
"Jul 97","26.712","26.959","27.105","26.038","-1.06%"
"Jun 97","26.998","27.178","27.367","26.570","-0.72%"
"May 97","27.194","27.882","28.262","27.140","-2.59%"
"Apr 97","27.916","28.124","28.352","27.328","-0.98%"
"Mar 97","28.192","27.889","28.762","27.875","1.00%"
"Feb 97","27.912","27.352","28.068","27.040","2.13%"
"Jan 97","27.330","28.475","28.591","27.237","-4.09%"
"Dec 96","28.495","29.200","29.420","27.967","-2.29%"
"Nov 96","29.162","28.088","29.190","27.713","3.21%"
"Oct 96","28.255","28.041","28.566","27.790","0.13%"
"Sep 96","28.219","28.020","28.792","27.832","0.25%"
"Aug 96","28.148","27.371","28.576","27.132","2.46%"
"Jul 96","27.471","27.591","28.615","27.119","-0.26%"
"Jun 96","27.543","27.739","28.247","27.164","-1.33%"
"May 96","27.913","27.138","28.743","27.127","2.32%"
"Apr 96","27.279","26.649","27.488","26.364","2.26%"
"Mar 96","26.677","26.327","27.936","25.534","0.64%"
"Feb 96","26.508","27.165","29.135","26.327","-2.52%"
"Jan 96","27.194","26.132","27.370","26.001","4.12%"
"Dec 95","26.119","25.933","26.323","25.579","0.65%"
"Nov 95","25.950","25.899","26.437","25.103","-0.23%"
"Oct 95","26.011","25.605","27.167","25.538","1.51%"
"Sep 95","25.625","23.890","26.603","23.811","7.11%"
"Aug 95","23.925","23.176","24.151","23.046","3.12%"
"Jul 95","23.201","22.303","23.267","22.176","4.15%"
"Jun 95","22.276","22.556","22.883","22.216","-1.29%"
"May 95","22.568","22.855","23.380","22.379","-1.34%"
"Apr 95","22.875","23.041","23.448","22.696","-0.83%"
"Mar 95","23.066","23.213","23.875","22.671","-0.69%"
"Feb 95","23.226","23.730","23.869","23.053","-2.15%"
"Jan 95","23.736","24.309","24.369","23.675","-2.40%"
"Dec 94","24.319","24.133","24.477","24.046","0.76%"
"Nov 94","24.135","23.288","24.156","23.196","3.57%"
"Oct 94","23.302","23.189","23.358","22.892","0.41%"
"Sep 94","23.206","23.292","23.444","22.969","-0.40%"
"Aug 94","23.300","23.137","23.509","22.820","0.39%"
"Jul 94","23.209","22.802","23.364","22.646","1.67%"
"Jun 94","22.827","23.118","23.431","22.522","-1.27%"
"May 94","23.121","22.501","23.181","22.040","3.06%"
"Apr 94","22.435","22.083","22.842","21.956","1.70%"
"Mar 94","22.061","22.360","22.649","21.904","-1.39%"
"Feb 94","22.371","22.208","22.909","22.141","0.65%"
"Jan 94","22.227","21.259","22.375","21.236","4.35%"
"Dec 93","21.301","20.668","21.404","20.591","3.01%"
"Nov 93","20.678","20.892","21.241","20.373","-1.07%"
"Oct 93","20.901","20.268","21.077","20.190","3.10%"
"Sep 93","20.273","21.104","21.125","20.105","-4.03%"
"Aug 93","21.125","21.620","21.756","20.839","-2.25%"
"Jul 93","21.612","20.875","21.689","20.757","3.50%"
"Jun 93","20.881","21.183","21.659","20.660","-1.57%"
"May 93","21.213","22.157","22.256","21.151","-4.23%"
"Apr 93","22.149","21.997","22.829","21.545","0.73%"
"Mar 93","21.989","23.201","23.675","21.927","-3.83%"
"Feb 93","22.864","21.322","23.317","20.911","7.20%"
"Jan 93","21.329","21.190","21.541","20.409","0.32%"